num_projeto	data_apresentacao	autor	localizacao_atual	status	data_ultima_tram	ultima_acao	projeto
PLO 913/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 919 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 912/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 918 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 911/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 917 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 910/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Plenário - Plen	Pedido De Vista Em Plenário	15 De Dezembro De 2020	Vista Concedida Ao Sr Deputado Adelino Follador	PLO
PLO 909/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 929 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 908/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Alex Silva	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	8 De Dezembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 907/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Alex Silva	Cetl - Comissão De Esporte, Turismo E Lazer	Parecer Favorável Da Comissão	15 De Dezembro De 2020	Parecer Favorável	PLO
PLO 906/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Dr Neidson	Cec - Comissão De Educação E Cultura	Parecer Favorável Da Comissão	15 De Dezembro De 2020	Parecer Favorável	PLO
PLO 905/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Jhony Paixão	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	8 De Dezembro De 2020	Ás Comissões Para Emitir Parecer	PLO
PLO 904/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	4 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 893 De 02 De Dezembro De 2020 Publicada No D O E Nº 235 De 02 De Dezembro De 2020	PLO
PLO 903/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 925 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 902/2020 - Projeto de Lei Ordinária	1 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 928 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
