"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"status";"data_ultima_tram";"ultima_acao";"projeto";"data"
"PLO 81/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Geraldo Da Rondônia";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 490 De 29/05/2019 - Publicada No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-23
"PLO 80/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Laerte Gomes";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"24 De Outubro De 2019";"Proposição Convertida Em Lei Nº 4 617 De 21/10/2019 - Publicado No D O E Nº 198 Em 22/10/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-23
"PLO 79/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"15 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 483 De 15/05/2019 - Publicada No D O E Nº 089 Em 16/05/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-23
"PLO 78/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 494 De 29/05/2019 - Publicado No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-23
"PLO 77/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 493 De 29/05/2019 - Publicado No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-23
"PLO 76/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"15 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 484 De 16/05/2019 - Publicada No D O E Nº 089 Em 16/05/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-23
"PLO 75/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Lazinho Da Fetagro";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"2 De Julho De 2019";"Proposição Convertida Em Lei Nº 4 526, De 28/06/2019, Publicada No D O E Nº 118, De 01/07/2019 - Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-16
"PLO 74/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Alex Silva";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"24 De Outubro De 2019";"Proposição Convertida Em Lei Nº 4 615 De 21/10/2019 - Publicado No D O E Nº 198 Em 22/10/2019 Fim Do Processo Documentos Acessórios: 4";"PLO";2019-04-16
"PLO 73/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Alex Silva";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei Por Promulgação";"27 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 597 De 19/09/2019 (Por Promulgação) - Publicada No D O E Nº 181 Em 26/09/2019 Fim Do Processo Documentos Acessórios: 5";"PLO";2019-04-16
"PLO 72/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Alex Silva";"Arquivo - Dl - Arq-Dl";"Veto Sobre A Proposição Mantido";"13 De Setembro De 2019";"Veto Total Nº 035/19 Ao Projeto De Lei Nº 72/19, Mantido Em 10/09/2019 Fim Do Processo Documentos Acessórios: 7";"PLO";2019-04-16
"PLO 71/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Adelino Follador";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"13 De Novembro De 2019";"Proposição Convertida Em Lei Nº 4 644 De 11/11/2019 - Publicada No D O E Nº 194 Em 11/11/2019 Fim Do Processo Documentos Acessórios: 8";"PLO";2019-04-16
"PLO 70/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Geraldo Da Rondônia";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"28 De Junho De 2019";"Proposição Convertida Em Lei Nº 4 525, De 28/06/2019, Publicada No D O E Nº 118, De 01/07/2019 - Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-16
"PLO 68/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Abril De 2019";"Proposição Convertida Em Lei Nº 4 478 De 29/04/2019 - Publicada No D O E Nº 078 Em 30/04/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-16
"PLO 67/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"14 De Junho De 2019";"Proposição Convertida Em Lei Nº 4 519 De 14/06/2019 Publicado No D O E Nº 109 Em 14/06/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-16
"PLO 66/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"2 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 568, De 30/08/2019, Publicada No D O E Nº 162, De 30/08/2019 - Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-16
"PLO 65/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"21 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 488 De 21/05/2019 - Publicada No D O E Nº 092 De 21/05/2019 Fim Do Processo Documentos Acessórios: 4";"PLO";2019-04-16
"PLO 64/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Abril De 2019";"Proposição Convertida Em Lei Nº 4 473 De 29/04/2019 - Publicado No D O E Nº 078 Em 30/04/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-16
"PLO 63/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertido Em Lei Nº 4 499 De 29/05/2019 - Publicada No D O E Nº 97 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-16
"PLO 62/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 498 De 29/05/2019 - Publicado No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-16
"PLO 61/2019 - Projeto de Lei Ordinária";"16 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"4 De Junho De 2019";"Proposição Transformada Em Lei Nº 4 511 De 04/06/2019 - Publicada No D O E Nº 102 Em 05/06/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-16
