"";"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"ementas";"status";"data_ultima_tram";"ultima_acao"
"921";"PLC 71/2020 - Projeto de Lei Complementar";"7 De Julho De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera, acresce e revoga dispositivos das Leis Complementares n° 432, de 3 de março de 2008 e n° 524, de 28 de setembro de 2009 e revoga a Lei Complementar n° 338, de 10 de fevereiro de 2006.";"Proposição Retirada Pelo Autor";"8 De Julho De 2020";"Proposição Retirada Pelo Autor Por Meio Da Mensagem Nº 149 De 03 De Julho De 2020"
"922";"PLC 70/2020 - Projeto de Lei Complementar";"26 De Maio De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera e acrescenta dispositivos à Lei Complementar n° 965, de 20 de dezembro de 2017, que “Dispõe sobre a organização e estrutura do Poder Executivo do Estado de Rondônia” e dá outras providências.";"Proposição Transformada Em Lei";"8 De Junho De 2020";"Proposição Convertida Em Lei Complementar Nº 1 062 De 04/06/2020 - Publicada No D O Nº 106 Em 04/06/2020 Fim Do Processo"
"923";"PLC 69/2020 - Projeto de Lei Complementar";"26 De Maio De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera a Tabela de Vencimentos dos Policiais Penais do Estado de Rondônia, assim como no valor do auxílio de alimentação dos servidores lotados e em efetivo exercício na Secretaria de Estado da Justiça de Rondônia – SEJUS, desmembra o Anexo II e cria o Anexo II-A na Lei Complementar nº 728, de 27 de agosto de 2013 e revoga a Lei nº 2476, de 26 de maio de 2011";"Proposição Transformada Em Lei";"29 De Maio De 2020";"Proposição Convertida Em Lei Complementar Nº 1 061 De 27/05/2020 - Publicada No D O Nº 100 Em 27/05/2020 Fim Do Processo"
"924";"PLC 68/2020 - Projeto de Lei Complementar";"26 De Maio De 2020 ";"Poder Executivo - Executivo";"Cfetooa - Comissão De Finanç , Econom Tribut, Orçam E Organ Administ";"Altera e acresce dispositivos da Lei Complementar n° 767, de 4 de abril de 2014, que “Dispõe sobre a Carreira de Apoio às Atividades da Procuradoria Geral do Estado de Rondônia”.";"Parecer Favorável Da Comissão";"1 De Setembro De 2020";"Parecer Favorável Na Ccjr"
"925";"PLC 67/2020 - Projeto de Lei Complementar";"21 De Maio De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera, acresce dispositivos e desmembra Tabela de Cargos da Lei Complementar nº 965, de 20 de dezembro de 2017 e dá outras providências.";"Proposição Transformada Em Lei";"25 De Maio De 2020";"Proposição Convertida Em Lei Complementar Nº 1 060 De 21/05/2020 - Publicada No D O Nº 099 Em 26/05/2020 Fim Do Processo"
"926";"PLC 66/2020 - Projeto de Lei Complementar";"31 De Março De 2020 ";"Jhony Paixão";"Departamento Legislativo - Dl";"Dispõe sobre a redução de alíquota de ICMS nas operações que especifica e dá outras providências, no âmbito do Estado de Rondônia.";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"20 De Outubro De 2020";"Parecer Contrário"
"927";"PLC 65/2020 - Projeto de Lei Complementar";"31 De Março De 2020 ";"Tribunal De Justiça - Presidente";"Departamento Legislativo - Dl";"Altera o Código de Organização e Divisão Judiciária do Estado de Rondônia, Lei Complementar n. 94/1993.";"Aguardando Deliberação Do Poder Executivo";"25 De Novembro De 2020";"Para Deliberação Do Poder Executivo"
"928";"PLC 64/2020 - Projeto de Lei Complementar";"10 De Março De 2020 ";"Mesa Diretora - Presidente";"Arquivo - Dl - Arq-Dl";"Altera a Tabela 03 – Gratificação da Assessoria Militar, do Anexo III, da Lei Complementar nº 1.056, de 26 de fevereiro de 2020, que “Estabelece a Estrutura Organizacional Político-Administrativa da Assembleia Legislativa do Estado de Rondônia.";"Proposição Transformada Em Lei";"16 De Abril De 2020";"Proposição Convertida Em Lei Complementar Nº 1 058 De 14/04/2020 - Publicada No D O Ale Nº 065 Em 14/04/2020 Fim Do Processo"
"929";"PLC 63/2020 - Projeto de Lei Complementar";"4 De Março De 2020 ";"Ministério Público - Procuradoria De Justiça";"Arquivo - Dl - Arq-Dl";"Dispõe sobre a descrição das atribuições dos cargos de provimento efetivo de Auxiliar Administrativo, Técnico Administrativo e Oficial de Diligências, do quadro do Ministério Público do Estado de Rondônia; Revoga e altera dispositivos da Lei Complementar nº 93, de 03 de novembro de 1993 e da Lei Complementar nº 790, de 28 de agosto de 2014; Extingue e altera dispositivos da Lei Complementar nº 303, de 26 de julho de 2004; e dá outras providências.";"Proposição Transformada Em Lei";"14 De Maio De 2020";"Proposição Convertida Em Lei Complementar Nº 1 059 De 12/05/2020 - Publicada No D O Nº 089 Em 13/05/2020 Fim Do Processo"
"930";"PLC 62/2020 - Projeto de Lei Complementar";"18 De Fevereiro De 2020 ";"Mesa Diretora - Presidente";"Arquivo - Dl - Arq-Dl";"Estabelece a Estrutura Organizacional Político-Administrativa da Assembleia Legislativa do Estado de Rondônia.";"Proposição Transformada Em Lei";"28 De Fevereiro De 2020";"Proposição Convertida Em Lei Complementar Nº 1 056 De 28/02/2020 - Publicada No D O E Nº 038 Em 28/08/2020 Fim Do Processo Documentos Acessórios: 2"
"931";"PLC 61/2020 - Projeto de Lei Complementar";"19 De Fevereiro De 2020 ";"Poder Executivo - Executivo";"Departamento Legislativo - Dl";"“Altera e acrescenta dispositivos à Lei Complementar n° 842, de 27 de novembro de 2015, que ‘Institui o Fundo Estadual de Combate e Erradicação da Pobreza de Rondônia - FECOEP, conforme o disposto no artigo 82, do Ato das Disposições Transitórias - ADCT, da Constituição Federal, e dá outras providências’ ”.";"Proposição Retirada Pelo Autor";"6 De Março De 2020";"Retirada Pelo Autor Conforme Mensagem N 09, De 04/02/2020 Documentos Acessórios: 1"
"932";"PLC 60/2020 - Projeto de Lei Complementar";"19 De Fevereiro De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera, acresce e revoga dispositivos da Lei Complementar n° 946, de 5 de junho de 2017 e revoga a Lei n° 3.575, de 23 de junho de 2015.";"Proposição Rejeitada Pelo Plenário";"16 De Julho De 2020";"Proposição Rejeitada Pelo Plenário Na Sessão Ordinária Do Dia 14 07 2020 Vai Ao Arquivo"
"933";"PLC 59/2020 - Projeto de Lei Complementar";"19 De Fevereiro De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Altera dispositivos da Lei Complementar nº 685, de 14 de novembro de 2012, que “Cria o Sistema Estadual de Defesa do Consumidor – SISDEC, o Conselho Estadual de Defesa do Consumidor – CONDECON, a Coordenadoria do Programa Estadual de Proteção e Defesa do Consumidor – PROCON/RO e a Comissão Estadual Permanente de Normatização - CEPN”.";"Proposição Transformada Em Lei";"8 De Abril De 2020";"Proposição Convertida Em Lei Complementar Nº 1 057 De 06 04 2020 - Publicada No D O Nº 66 Em 07 04 2020 Fim Do Processo Documentos Acessórios: 2"
"934";"PLC 58/2019 - Projeto de Lei Complementar";"11 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Departamento Legislativo - Dl";"Dispõe sobre a criação de grupo ocupacional e cargos no âmbito da Superintendência de Polícia Técnico-Científica do Estado de Rondônia e dá outras providências.";"Proposição Retirada Pelo Autor";"20 De Fevereiro De 2020";"Proposição Retirada Pelo Autor Através Da Mensagem Nº 292/19 -13/12/19 Documentos Acessórios: 1"
"935";"PLC 57/2019 - Projeto de Lei Complementar";"10 De Dezembro De 2019 ";"Chiquinho Da Emater";"Cetl - Comissão De Esporte, Turismo E Lazer";"Institui, no âmbito do Estado de Rondônia, a Estância Turística de Candeias do Jamari.";"Parecer Favorável Da Comissão De Constituição E Justiça";"5 De Maio De 2020";"Parecer Favorável Sobre A Proposição A Comissão De Destino Para Emitir Parecer"
